Commercial_Name,Activity_Label
شركه الوعلان للتجارة,تجارة عامة
مصنع منصور محمد سلمان بن رويحل للصناعة,تصنيع
مؤسسة وادي الجمال لمستحضرات التجميل,تجارة عامة
مؤسسة انس عبدالله بن يحي الدعرمي التجارية,تجارة عامة
مؤسسة حصن البلاد للتجارة,تجارة عامة
مؤسسة حلول القوة للنقل البري,نقل
مصنع شعاع مجدل سعود الدوسري للصناعة,تصنيع
شركة مشروع الأطعمة الثانية لتجارة الأغذية,تجارة عامة
مؤسسة شيمه سعد صنت الحربي للتشغيل والصيانة,صيانة
مصنع فيصل دغيمان بن عالي الرشيدي للصناعة,تصنيع
مؤسسة صالح يحي رمضان الزهراني للتجارة,تجارة عامة
مصنع احمد فهد بن مطلق العضياني للصناعة,تصنيع
مؤسسة نوره عبدالله محمد الهاجري لتنظيم المعارض والمؤتمرات,تجارة عامة
محل محمد علي بن علوي الزيداني للتجارة,تجارة عامة
مؤسسة مريم عبدالملك فتح البارى مندوره للحلويات و المكسرات,تجارة عامة
مؤسسة المارد لتقديم المشروبات,تجارة عامة
مصنع شموع الخليج للصناعة,تصنيع
مؤسسة العراب للموارد البشرية,تجارة عامة
مؤسسة الخيوط العربية للتجارة,تجارة عامة
مؤسسة عبدالرحمن بندر بن عبدالله الصبي للتجارة,تجارة عامة
مصنع الريادة المتحدة للبلاستيك,تصنيع
مؤسسة جيهان عبدالله معتوق المصيري لخدمات الاعاشة,تجارة عامة
مؤسسة عمق لاقامة وتنظيم المعارض,تجارة عامة
مؤسسة جوهره الاجهزه للصيانة,صيانة
مؤسسة انصارى محمود عبدالله المنزلاوى للنظارات,تجارة عامة
مؤسسة الصقر العربي للتسويق الالكتروني,تجارة عامة
مكتب فيصل يحي علي بن سعيد للعقارات,خدمات مكتبية
مؤسسة المعزي للنقليات,نقل
مصنع لمسات للصناعة,تصنيع
مؤسسة نزار عبدالمجيد جميل جمجوم للفنون,تجارة عامة
مطعم فوزيه محمد راشد المطيري لتقديم الوجبات,مطاعم
مؤسسة درين للحراسات الأمنية,تجارة عامة
مؤسسة الاصيل التجارية,تجارة عامة
بوفية ربيع خالد سليمان الربدي للوجبات السريعة,مطاعم
مؤسسة جذل لتقديم المشروبات,تجارة عامة
مصنع السلطان للمعجنات,تصنيع
مؤسسة أحمد سلمان محمد الحربي للسياحة,تجارة عامة
مؤسسة عزيز عبدالله جاري آل عبيد الشهري للتجارة,تجارة عامة
مؤسسة هبه بنت سعيد بن حسن آل نمر للمقاولات,تجارة عامة
مؤسسة ناصر عبدالله هادي العرجاني للمقاولات,تجارة عامة
مؤسسة جاما لتقديم المشروبات,تجارة عامة
مصنع نهله عبدالحميد علي ابوشادي للتصنيع,تصنيع
مؤسسة سواعد الإنشاء للمقاولات العامة,تجارة عامة
مؤسسة العنود حمود حمود البقعاوي للمقاولات العامة,تجارة عامة
مؤسسة عبدالرحمن متعب علي الشمراني للمقاولات,تجارة عامة
مؤسسة دانة طيبة للتشغيل والصيانة,صيانة
بوفية رمز الشباب للوجبات السريعة,مطاعم
مؤسسة وليد صالح سليم الحربي للتجارة,تجارة عامة
مصنع ولاء عباس بن يوسف الضحاك البوخضر للصناعة,تصنيع
مؤسسة اعمار شرق الشمال للمقاولات المعمارية,تجارة عامة
مطعم مزايا الشام لتقديم الوجبات,مطاعم
مؤسسة طايل عياد مجهل العتيبي للصيانة,صيانة
مؤسسة مروان عبدالله محمد الطبيشي لتأجير السيارات,تجارة عامة
مؤسسة روائح العطور للتجارة,تجارة عامة
مؤسسة تغريد مناحي بن عذال المطيري التجارية,تجارة عامة
مؤسسة ميسم سويت لخدمات الاعاشة,تجارة عامة
مؤسسة الماسة الريفية للتجارة,تجارة عامة
مصنع ستره مستور ستير المسعودى للصناعة,تصنيع
مؤسسة مباني الاندلس للمقاولات العامة,تجارة عامة
مكتبة أسماء طالب رفيد الشمري للقرطاسية,خدمات مكتبية
مصنع صلاح حمد علي الذياب للصناعة,تصنيع
مؤسسة هيا عايض مهدي القحطاني للمقاولات العامة,تجارة عامة
مؤسسة شامي علي ابراهيم السلامي لتقديم الوجبات,تجارة عامة
مؤسسة هوية التصميم للديكور,تصميم/فنون
مؤسسة عبدالله محمد احمد المسعودي لاجهزة السلامة,تجارة عامة
مؤسسة محمد علي حويس البدور لكهرباء السيارات,تجارة عامة
مطاعم الشيباني لتقديم الوجبات,مطاعم
مؤسسة سعد سعيد محمد آل خالد للأجهزة الإلكترونية,تجارة عامة
مصنع سهم البادي للصناعة,تصنيع
مكتب فرحان مد الله عزاره الجميلي للاستشارات الهندسية,خدمات مكتبية
مؤسسة سهام طلال فهاد الشمري لمواد البناء,تجارة عامة
مؤسسة منصة مزيج للتجارة,تجارة عامة
مطابخ باسم عبدالفتاح عباس منقل لتقديم الوجبات,نقل
مؤسسة نور الياسمين للترفية,تجارة عامة
مؤسسة رنا علي بن سعد القحطاني التجارية,تجارة عامة
مؤسسة اركان الستائر للتجارة,تجارة عامة
مؤسسة رواد الحماية للمقاولات العامة,تجارة عامة
محل خضار نجران للتجارة,تجارة عامة
مطعم سارة عطيش فرحان العتيبي لتقديم الوجبات,مطاعم
مؤسسة كيف المساء للتجارة,تجارة عامة
مؤسسة البناء الخاص للمقاولات العامة,تجارة عامة
بوفية شهد الشمال للوجبات السريعة,مطاعم
مجموعة أفاق الخليج للتشغيل والصيانة شركة شخص واحد,صيانة
مؤسسة خطوط التوريدات التجارية,تصميم/فنون
مؤسسة عبدالله مليفي عبدالدائم العنزي للمقاولات,تجارة عامة
مؤسسة ألوان الحمض للانتاج الفني,تجارة عامة
مصنع شهد شباب بن ربعي العتيبي للصناعة,تصنيع
مؤسسة الراسي للعقارات,تجارة عامة
مصنع فواصل المتطورة للبلك,تصنيع
مؤسسة عبير الكرز للتجارة,تجارة عامة
ملحمة موضي عبدالعزيز عمر الخطيب التجارية,تصميم/فنون
مؤسسة جوهرة نواعم الذهب للذهب,تجارة عامة
بوفية طالب عبدالعزيز العمران للوجبات السريعة,مطاعم
مؤسسة بنيان الباحة للمقاولات العامة,تجارة عامة
مؤسسة نوره سعيد بن حسين القحطاني للمقاولات العامة,تجارة عامة
مؤسسة زهره محمد عمر الشهري لتنجيد الاثاث,تجارة عامة
مؤسسة عقعق للخدمات اللوجستية,تجارة عامة
مؤسسة حسنه محمد صغير العنزي لخدمات الاعاشة,تجارة عامة
محل ركن تذكار للتجارة,تجارة عامة
مؤسسة علي بن مفرح بن مصحوب القحطاني لقطع الغيار المستعملة,تجارة عامة
مؤسسة فاكهة النخيل للتمور,تجارة عامة
محل امل عوده مرزوق الحربي للتجارة,تجارة عامة
بوفية فهد مقضب عوده الظفيري للوجبات السريعة,مطاعم
مصنع سهيل ناصر مناور العتيبي للصناعة,تصنيع
مصنع عايض معجب محمد الدوسري للصناعة,تصنيع
مؤسسة حمساء شائع فالح القحطاني لخدمات السيارات,تجارة عامة
مصنع عذيبه عايد عمعوم الشمري للصناعة,تصنيع
مؤسسة خالد حسان خالد كردي التجارية,تجارة عامة
مؤسسة زرع للالات والمعدات,تجارة عامة
مؤسسة رهف علي بن محمد اليامي للاتصالات,تجارة عامة
مؤسسة مضاوي صالح بن سعد اليامي للصيانة والتشطيب,صيانة
مؤسسة علي حمد ناصر آل خمسان للتشغيل والصيانة,صيانة
مؤسسة عبدالرحمن يحي سلمان عبدلي للوجبات السريعة,تجارة عامة
مؤسسة احمد عمر علي آل المعقله للتجارة,تجارة عامة
مؤسسة مباشر للوساطة,تجارة عامة
بوفية سيرية الحوراء للوجبات السريعة,مطاعم
مصنع منيره متعب بن معدي العتيبي للصناعة,تصنيع
محل خيريه سليمان علي نجدي للتجارة,تجارة عامة
مؤسسة روابي عبدالعزيز علي الفهيد للمقاولات العامة,تجارة عامة
مؤسسة فهد عبيدالله عطاالله الهذلي للتشغيل والصيانة,صيانة
مصنع عصرة اولى للتصنيع,تصنيع
شركة عزم الفرسان لصيانة السيارات,صيانة
مؤسسة محمد ناصر بداح الصخيبري للمقاولات العامة,تجارة عامة
مؤسسة عاصم مطير ثايب الحربي للتجارة,تجارة عامة
مؤسسة فيصل عبدالرحمن علي البيشي لخدمات السيارات,تجارة عامة
مؤسسة نوف محمد بن باخت المطرفي للتشغيل والصيانة,صيانة
مؤسسة محمد ابراهيم عبدالعزيز العجلان للإطارات,تجارة عامة
مؤسسة تموين العرب التجارية,تجارة عامة
مؤسسة فاطمه عبدالرحمن بن صالح الحفيتي التجارية,تجارة عامة
مطعم حمد بن شبيب بن عبدالهادي الحواصله القحطاني لتقديم الوجبات,مطاعم
مصنع خالد بن سعيد بن محمد الشهراني للصناعة,تصنيع
مؤسسة عبدالله الحميدي صخنان السبيعي العنزي للاتصالات,تجارة عامة
مؤسسة ذوق زيادة التجارية,تجارة عامة
مصنع وضحى جعيول بن رشيد العتيبي للصناعة,تصنيع
مؤسسة وعد محمد عبدالله الشهراني لصيانة الالكترونيات,صيانة
ملحمة سعيد عبدالله بن علي الغامدي التجارية,تجارة عامة
ملحمة مهدي فنيس فراس البقمي التجارية,تجارة عامة
مؤسسة مفهوم الغذاء للتجارة,تجارة عامة
محل رحلة الستين للتجارة,تجارة عامة
مؤسسة فاطمه حسين ابن فهد القحطاني للخدمات التجارية,تجارة عامة
مصنع منصور شباط معيوف العنزي للتصنيع,تصنيع
مطعم زينه عايض مهدي القحطاني لخدمات الاعاشة,مطاعم
مؤسسة حسين سعيد بن حسن آل سيف للصيانة,صيانة
مؤسسة حلى باسقات القصيم للحلويات,تجارة عامة
مؤسسة شعلة الوقود للتجارة,تجارة عامة
مؤسسة وجدان متعب دحيم العتيبي للتشغيل والصيانة,صيانة
مؤسسة بدر محمد عبدالله بحلس التجارية,تجارة عامة
مؤسسة تشيد البيضاء للمقاولات العامة,تجارة عامة
مؤسسة مشعل طلال مشرع الحمراني للاتصالات,تجارة عامة
محل عواض محمد عواض الحارثي للتجارة,تجارة عامة
بوفية نايف محماس بن خظر الحربي للوجبات السريعة,مطاعم
مؤسسة أبعاد التسويق للتجارة,تجارة عامة
مؤسسة اسس التفوق للمقاولات العامة,تجارة عامة
مؤسسة نبات الظل التجارية,تجارة عامة
بوفية جميله محمد جميل استبان لتقديم الوجبات,مطاعم
مطعم نايف مساعد جحليش الشراري لتقديم الوجبات,مطاعم
مؤسسة رمز الحياة لتقديم المشروبات,تجارة عامة
مؤسسة ريوف بطي بن عبدالعالي الحربي للمقاولات,تجارة عامة
مؤسسة احمد بن محمد بن علي الحنيف للاعلاف,تجارة عامة
محل عيضه ضفيدع دخيل الله السفياني للتجارة,تجارة عامة
مطعم بنه العقيلات لتقديم الوجبات,مطاعم
مؤسسة عواد محمد بن حماش العنزي للتجارة,تجارة عامة
ورشة عبدالرحمن عبدالله حسن الوليدي لصيانة السيارات,صيانة
مؤسسة رجحاء عبدالله محمد قعيشيش للصيانة,صيانة
مؤسسة علياء سالم سلامه التميمي لتقنية المعلومات,تجارة عامة
مؤسسة فوزيه فلاح بن حمدان المطيري للمقاولات العامة,تجارة عامة
مصنع مشبب عبدالله فهد الدوسري للتصنيع,تصنيع
مصنع نوره عائض نجى الغامدي لتعبئة المياه,تصنيع
مطعم وحش محسن خشمان الحربي لتقديم الوجبات,مطاعم
مؤسسة سفن ساس للتجارة,تجارة عامة
مطعم حصه بنت سليمان بن محمد الحربي للوجبات السريعة,مطاعم
مؤسسة منظمة العلا للترفية,تجارة عامة
مؤسسة مها راضي بن حامد العنزي التجارية,تجارة عامة
مؤسسة تهاني حماد ذيبان الشمري التجارية,تجارة عامة
ورشة الفني الحديث التقني لصيانة السيارات,صيانة
مؤسسة سيافة لتجارة الجملة و التجزئة,تجارة عامة
مؤسسة وسام أحمد صالح الغامدي التجارية,تجارة عامة
ورشة الحضارة لصيانة السيارات,صيانة
محل سلة اسماعيل للتجارة,تجارة عامة
مؤسسة احمد وائل مصطفى ديري للساعات,تجارة عامة
مؤسسة أمجد صالح راضي الهباد للتجارة,تجارة عامة
مطعم وضحاء بدر يوسف الحربي لتقديم الوجبات,مطاعم
مؤسسة ثوره الاطعمه لخدمات الاعاشة,تجارة عامة
مؤسسة علي زاهر احمد الاسمري التجارية,تجارة عامة
مؤسسة جساس احمد بن عبداللة آل رجب للمقاولات العامة,تجارة عامة
مؤسسة كتر للنقل البري,نقل
مؤسسة عبدالعزيز سعد الهليل للتجارة,تجارة عامة
مؤسسة ربيع القصيم للتجارة,تجارة عامة
مطعم أوراد لتقديم الوجبات,مطاعم
مؤسسة نيلوفر لبنه للصيانة والتشطيب,صيانة
مؤسسة خلود سعيد محمد الأحمري لخدمات الاعاشة,تجارة عامة
محل واحة ينبع للتجارة,تجارة عامة
مصنع فيصل عايش غبيشان الحربي للصناعة,تصنيع
مصنع الريم سالم هاجد الدوسري للتصنيع,تصنيع
مؤسسة مها محمد بن فيصل السبيعي للمقاولات العامة,تجارة عامة
مؤسسة ضحى راضي بن حامد العنزي التجارية,تجارة عامة
مطعم حسني لتقديم الوجبات,مطاعم
مكتب خالد مبارك بن صقر الخالدي للاستقدام,خدمات مكتبية
مؤسسة بدر سلمان بداى المظيبري للنقليات,نقل
مؤسسة مشعل ناصر مشعل السبيعي للمواد الغذائية,تجارة عامة
مؤسسة رفيف عبدالاله بن محمود حسين للنقليات,نقل
مؤسسة ركن المذاق التجارية,تجارة عامة
مؤسسة نوره نافع سبيل العوفي للتجارة,تجارة عامة
مصنع مشعل خالد حامد الريفي للصناعة,تصنيع
محامص لكل الثمار للقهوة,مقاهي
مصنع وهيب صالح ماطر الحربي للصناعة,تصنيع
مطعم محمد عبدالعزيز بن عبدالرحمن الفهيد لتقديم الوجبات,مطاعم
ملحمة ريحان التجارية,تجارة عامة
بوفية مستوره ابراهيم عيظه الثبيتي للوجبات السريعة,مطاعم
مكتب علي محمد حميد الثميري للخدمات العامة,خدمات مكتبية
مصنع حسين صالح هادي المحامض للصناعة,تصنيع
مصنع نواف عيد بن مطلق العتيبي للصناعة,تصنيع
مؤسسة فاطمه عبيد ثابت الثبيتي للنقل والتخزين,نقل
مؤسسة رسم العين التجارية,تصميم/فنون
مكتب نمط العقاري,خدمات مكتبية
فرع مجموعة ميسان الجنوب للنقل المدرسي شركة شخص واحد,نقل
مصنع محمد سعد بن عبدالرحمن القصيمي للصناعة,تصنيع
مؤسسة الصفا المتحدة للمقاولات العامة,تجارة عامة
مؤسسة اسامه انتصار جمال تركي للتجارة,تجارة عامة
مؤسسة طلال منيع بن عياد العتيبي للصيانة,صيانة
مصنع عائشه محمد حسن عسيري للصناعة,تصنيع
مؤسسة أرقى التمور التجارية,تجارة عامة
مؤسسة محمد احمد بن يحي آل العنيبي للتجارة,تجارة عامة
مطاعم دجاج وأكثر للوجبات السريعة,مطاعم
مؤسسة نايف محمد بن عمر الصيعري للتجارة,تجارة عامة
مطعم مريم فلاح بن حمدان المطيري لتقديم الوجبات,مطاعم
مصنع باشه مسفر بن ذيب الدوسري للصناعة,تصنيع
مؤسسة نوال عاتق بن خلف القثامي للصيانة والتشطيب,صيانة
مؤسسة هادي ضويحي سالم العتيبي للدعاية والاعلان,تجارة عامة
مصنع نوره عبيد بن نور العمري للصناعة,تصنيع
مطاعم عواجي عبدالله صديق عطيف لتقديم الوجبات,مطاعم
مؤسسة دليلي للدعاية والاعلان,تجارة عامة
مطعم صالح محمد سعود الفهيد لتقديم الوجبات,مطاعم
مطعم اسماء ياسين شامي الخيري لتقديم الوجبات,مطاعم
مؤسسة محمد غزاي بن حمد المقاطي للتجارة,تجارة عامة
مؤسسة كشك الذرة للوجبات السريعة,تجارة عامة
مؤسسة ريسان المتطورة للتجارة,تجارة عامة
مؤسسة عبدالله محمد بن عبدالله العليان للمقاولات العامة,تجارة عامة
مؤسسة محمد عبدالعزيز يماني الصيعري للفعاليات الترفيهية,تجارة عامة
مؤسسة مشاعل رجاء سعد العنزي للتشغيل والصيانة,صيانة
ملحمة حاشي البرية التجارية,تجارة عامة
مؤسسة محمد سليمان اللهيبي الحربي للتجارة,تجارة عامة
مؤسسة احمد عبيد بن صالح الصيعري لتجارة الأغذية,تجارة عامة
مؤسسة مريم محمد حسين بوسهيل للصيانة والتشطيب,صيانة
مؤسسة حنان صالح بن محمد هزازي للعطارة,تجارة عامة
مؤسسة سعد عبدالله محمد مداوي للمقاولات العامة,تجارة عامة
مؤسسة الدليل للقمة للتجارة,تجارة عامة
بوفية فضيظه صالح بنيه الرشيدي لتقديم الوجبات,مطاعم
مؤسسة ابتسام مناور جمعان الحربي لتقديم المشروبات,تجارة عامة
مؤسسة الطبقات الصلبه للمقاولات المعمارية العامة,تجارة عامة
مؤسسة ردما الحديثة للمقاولات العامة,تجارة عامة
ملحمة بدريه بدر جحيش الروقي التجارية,تجارة عامة
مؤسسة عبدالله سعود بن عماش الرويثي التجارية,تجارة عامة
بوفية عبدالرحمن فلاح بن سعد الرويس للوجبات السريعة,مطاعم
مكتب نبراس الحفر للعقار,خدمات مكتبية
مؤسسة خضراء سعيد عبدالله المالكي التجارية,تجارة عامة
مؤسسة أسس الانجاز للصيانة والنظافة,صيانة
مصنع حمد علي جربوع الشمري للخرسانة الجاهزة,تصنيع
مصنع نجيبه مكي بن جعفر العلوى للصناعة,تصنيع
مكتبة عبدالعزيز خالد بن صالح الشامي للقرطاسية,خدمات مكتبية
مصنع عبدالله معيض مضحي الحارثي للصناعة,تصنيع
مصنع ثرياء سمير مرزوق الرشيدي للصناعة,تصنيع
مصنع أمجاد صالح علي الزهراني للصناعة,تصنيع
ملحمة أصالة الأخوة للتجارة,تجارة عامة
مؤسسة نواف نايف محمد الشيباني للعقارات,تجارة عامة
شركة ليالي المزاج للتجارة,تجارة عامة
مؤسسة ندوه فهد ندا العنزي للدراجات النارية,تجارة عامة
مصنع حصه ناصر زعل البلوي للاعلاف,تصنيع
مصنع نوره احمد علي المجايشى للصناعة,تصنيع
مؤسسة فخارة فلافل للوجبات السريعة,تجارة عامة
مؤسسة ملحه سالم بن هادي ال الشهي للمقاولات العامة,تجارة عامة
مؤسسة ريم علي عبدالرحمن الشمري للفعاليات الترفيهية,تجارة عامة
مؤسسة حمد عبدالله بن حمد العبود للتشغيل والصيانة,صيانة
مؤسسة محمد بن صالح بن عبدالعزيز السعوي للتطوير العقاري,تجارة عامة
مصنع عبدالعزيز عبدالله بن فلاح اليامي للصناعة,تصنيع
مصنع محاسن محمد محمود حامد للصناعة,تصنيع
مؤسسة رهام سعد صالح العمري التجارية,تجارة عامة
مؤسسة ابوهيبه محمد عثمان عامري للصيانة,صيانة
مؤسسة الجوهره محمد عبده حسن للتجارة والتسويق,تجارة عامة
مؤسسة ساره قعيد دبيان العتيبي للمقاولات العامة,تجارة عامة
مؤسسة تاق الذهب للتجارة,تجارة عامة
مؤسسة مشاري جمال عبدالله العنزي للمقاولات العامة,تجارة عامة
مؤسسة اتجاه للفعاليات الترفيهية,تجارة عامة
مؤسسة محمد عبدالله بن علي المدنى التجارية,تجارة عامة
مؤسسة اكليل الجبل للتجارة,تجارة عامة
مؤسسة صالحه حمد علي الصلبي للتسويق الالكتروني,تجارة عامة
مؤسسة دنيا الفخامة للصناعة,تجارة عامة
مصنع نايب مبارك بن صالح آل منصور للصناعة,تصنيع
مطاعم ولاية لتقديم الوجبات,مطاعم
مؤسسة درة الراقي للمواد الغذائية,تجارة عامة
مؤسسة هدى مبروك لاحق الذروي للصيانة,صيانة
مصنع الجازي سيف ظافر ال رشيد للصناعة,تصنيع
مصنع صدى الحديد للصناعة,تصنيع
مؤسسة صالحة عبدالرحمن احمد الغامدي للنقليات,نقل
مؤسسة فضه علي حسن الشهري للتجارة,تجارة عامة
مؤسسة مربع العقارية,تجارة عامة
مكتب اسس الاحتراف للاستشارات الهندسية,خدمات مكتبية
مؤسسة فوزي بن حسين بن محمد الغامدي للتجارة,تجارة عامة
مصنع سلمى جاسم بن حسن آل عباس للبلك,تصنيع
مؤسسة محمد علي العبندي للمقاولات العامة,تجارة عامة
مؤسسة سيارتي للوساطة,تجارة عامة
مطعم عزوة بنت ثواب بن مقبل المطيري لتقديم الوجبات,مطاعم
مطعم مريم حسن محمد عولقي لتقديم الوجبات,مطاعم
مؤسسة سلطان عبدالعزيز سعد البذره التجارية,تجارة عامة
مؤسسة سفن كود للمقاولات,تجارة عامة
مؤسسة رداء برده التجارية,تجارة عامة
بوفية عيش ولحم لتقديم الوجبات,مطاعم
مؤسسة ليلي سويد علي سبتان للتشغيل والصيانة,صيانة
مؤسسة هند هديان مبارك آل بريك للنقليات,نقل
مؤسسة ضباب الجنوب للتطوير العقاري,تجارة عامة
مؤسسة ناجي مفرح حسن الفيفي التجارية,تجارة عامة
مؤسسة احمد محمد اسعد هاشم لخدمات الاعاشة,تجارة عامة
محل قطرة ندى التجارية,تجارة عامة
مؤسسة ركن الرخام للتجارة,تجارة عامة
محامص عمر جابر علي ال زياد للقهوة,مقاهي
بوفية نكهة الحجر لتقديم الوجبات,مطاعم
مؤسسة أبيات للخدمات العقارية,تجارة عامة
محل نسمات الخير للتجارة,تجارة عامة
مؤسسة نوف للمفروشات,تجارة عامة
مستودع شركة ناسكو العالمية للتجارة والمقاولات,تجارة عامة
بوفية أحمد بن عايش بن علي بوحسن للوجبات السريعة,مطاعم
مؤسسة عدنان بن هاشم بن حسن الطاهر لصيانة المعدات,صيانة
شركة العماد التجارية,تجارة عامة
ورشة ابراهيم محمد ابراهيم اليامي لصيانة السيارات,صيانة
مؤسسة فرحان حمدان مانع الحربي للمقاولات العامة,تجارة عامة
مؤسسة درة السلامة للصيانة,صيانة
مؤسسة مازن دخيل الله بن مصلح الحربي للاتصالات,تجارة عامة
مؤسسة زيد ملحم سعد السبيعي للتجارة,تجارة عامة
مؤسسة محمد بن عبدالله بن محمد آل مشيخص للحلويات و المكسرات,تجارة عامة
مؤسسة عالم الشمال للنقل البري,نقل
مؤسسة عقيله محمد ابراهيم هباش للتجارة,تجارة عامة
بوفية نجاة علي عمر غالب لتقديم الوجبات,مطاعم
مؤسسة البناء النموذجي للمقاولات العامة,تجارة عامة
مؤسسة لمسة عبير لاقامة وتنظيم المعارض,تجارة عامة
مؤسسة عبق الكيف لتقديم المشروبات,تجارة عامة
مؤسسة سالم صالح علي المنهالي للذهب,تجارة عامة
مؤسسة منال بخيت الشيباني لخدمات الاعاشة,تجارة عامة
مؤسسة الامين عبدالرحمن محسن الحازمي للصيانة,صيانة
مؤسسة عراقة راما للتجارة,تجارة عامة
مكتب آفاق الإحترافيه للاستشارات في مجال الاتصالات وتقنية المعلومات,خدمات مكتبية
محل فواكهه الهدا للتجارة,تجارة عامة
شركة الغنيم للتجارة,تجارة عامة
مطعم الصقر الجديد لتقديم الوجبات,مطاعم
مكتبة محمد مصلح موسى العرياني للقرطاسية,خدمات مكتبية
مؤسسة أمينه شطى منوخ الشمري للتشغيل والصيانة,صيانة
مؤسسة عبدالعزيز غازى بن وصل الله اللحيانى للمقاولات العامة,تجارة عامة
مؤسسة افتكار عوض الله عبدالباقى الجهنى للملابس,تجارة عامة
مؤسسة الجيل السامي للنقل البري,نقل
شركخ صانع العصيرات التجارية,تجارة عامة
مؤسسة جون للشقق الفندقية,تجارة عامة
مؤسسة عوض غازي فالح المطيري لمستحضرات التجميل,تجارة عامة
مؤسسة ليث الجزيره للتجارة,تجارة عامة
مؤسسة عبدالعزيز عبدالمحسن عبدالرحمن الشيخ التجارية,تجارة عامة
مؤسسة رؤية التصميم للمقاولات,تصميم/فنون
مؤسسة صروح البناء للمقاولات العامة,تجارة عامة
مطاعم اجا وسلمى لتقديم الوجبات,مطاعم
مؤسسة حمود هزاع بطيحان الملعبي للمواشي,تجارة عامة
مؤسسة العذار التجارية,تجارة عامة
مكتب منسوب المدينة للاستشارات الهندسية,خدمات مكتبية
مطعم تركي حسن حتحوت لتقديم الوجبات,مطاعم
مؤسسة عبير عبدالله حمد الدوسري للمقاولات العامة,تجارة عامة
مؤسسة امجاد الانماء التجارية,تجارة عامة
مؤسسة فور سفن للمواد الغذائية,تجارة عامة
مؤسسة فخم للتجارة والتسويق,تجارة عامة
مؤسسة مبروك للخدمات العقارية,تجارة عامة
محامص منجد للقهوة,مقاهي
مؤسسة عبدالله بن خالد بن محمد قاسم للتجارة,تجارة عامة
مؤسسة ناصية الإنجاز للخدمات الطلابية,تجارة عامة
مؤسسة شهد هزاع عواض المطيري للتجارة,تجارة عامة
مصنع شرعاء سالم ابراهيم آل سلطان للمنتجات البلاستيكية,تصنيع
مؤسسة رؤية جيزان للمقاولات,تجارة عامة
مؤسسة همسة جوري للهدايا,تجارة عامة
مؤسسة عائشه عامر سعيد عسيري التجارية,تجارة عامة
مؤسسة ألرمال ألذهبية للمقاولات العامة,تجارة عامة
مصنع الفرسان للمنتجات الاسمنتية,تصنيع
مؤسسة مضحي علي مضحي الشمري للتجارة,تجارة عامة
شركة الشارة الخضراء التجارية,تجارة عامة
مؤسسة صلاح خالد البلوي للحلويات و المكسرات,تجارة عامة
مؤسسة عماد الصفوه التجارية,تجارة عامة
مؤسسة بنه سعيد علي الشهراني التجارية,تجارة عامة
مؤسسة النجاح للمواشي,تجارة عامة
مؤسسة الصقور الذكية لتقنية نظم المعلومات,تجارة عامة
مكتب الفرص اللا حصر لها التجارية,خدمات مكتبية
محل المروة التجارية,تجارة عامة
مصنع منيره علي راكان العتيبي للصناعة,تصنيع
مصنع حسين مهدي علي مسملي للصناعة,تصنيع
شركة عبدالله احمد معيض آل جبير الغامدي لتجارة الجملة و التجزئة,تجارة عامة
مؤسسة علي يوسف الخضر التجارية,تجارة عامة
مؤسسة فيصل ابراهيم هادي عثمان للمقاولات العامة,تجارة عامة
مؤسسة جياد نجران  للمقاولات العامة,تجارة عامة
مكتب آتيك للاستشارات الهندسية,خدمات مكتبية
وكالة نسرين بحرين سالم صبياني التجارية,تجارة عامة
مصنع ملاك علي ال سارحه للصناعة,تصنيع
مؤسسة تطبيقاتي لتقنية نظم المعلومات,تجارة عامة
مؤسسة محمد ابن سعد ابن مداوى القحطاني للخدمات العقارية,تجارة عامة
مؤسسة عادل محمد عبدالله اهلي للتجارة,تجارة عامة
مؤسسة نون الدهانات التجارية,تجارة عامة
مؤسسة جرعة بخار للتجارة والتسويق,تجارة عامة
مؤسسة تسجيلات الشمال التجارية,تجارة عامة
مؤسسة فريج صويلح التجارية,تجارة عامة
مؤسسة كار جولد لتأجير السيارات,تجارة عامة
مصنع مسعد سلطان سعد العتيبي للصناعة,تصنيع
شركة صقر الجزيرة للصناعة والتجارة والمقاولات,تجارة عامة
مؤسسة جمال عبدالله بن محمد الخميس للاتصالات,تجارة عامة
مؤسسة شنان للدعاية والاعلان,تجارة عامة
مؤسسة الضياء للحلويات,تجارة عامة
مؤسسة فنون التأثيث للتجارة,تجارة عامة
مؤسسة علي محمد حاوي منقري للتمور,تجارة عامة
مطاعم سراعة للوجبات السريعة,مطاعم
مؤسسة البرج اللامع للصيانة والنظافة,صيانة
مؤسسة معارج للتكييف والتبريد,تجارة عامة
مؤسسة علي فهد محمد الدوسري للنقليات,نقل
مؤسسة منال كويس الظفيري للمقاولات,تجارة عامة
مؤسسة بدر فواز عبدالله العسيري التجارية,تجارة عامة
مؤسسة لؤلؤة طيبة للذهب والمجوهرات,تجارة عامة
شركة سماحا للتجارة,تجارة عامة
مؤسسة مهمات للترفية,تجارة عامة
مؤسسة ماجد فايز فتن الجودي للملابس الجاهزة,تجارة عامة
مصنع نوير مريزيق بن حامد الحربي للصناعة,تصنيع
مؤسسة فنون القارات للمقاولات العامة,تجارة عامة
مؤسسة ودق للخدمات الطلابية,تجارة عامة
مطاعم شاهه معيبد مضحي الحربي لتقديم الوجبات,مطاعم
مكتبة البندري عبدالله عساف العتيبي للقرطاسية,خدمات مكتبية
